***Ebeam     Eprime  Theta     x        Q2      Sig_Born     Sig_Born_In  Sig_Born_QE  Sig_Rad      Sig_Rad_EL   Sig_Rad_QE   Sig_Rad_DIS  C_cor
   10.7000   4.3900   8.4000   0.0851   1.0078  0.20089E+03  0.20088E+03  0.44755E-02  0.27112E+03  0.66071E+00  0.15002E+02  0.25545E+03  0.10000E+01
   10.7000   4.4000   8.4000   0.0854   1.0101  0.20112E+03  0.20112E+03  0.44861E-02  0.27100E+03  0.65240E+00  0.14897E+02  0.25545E+03  0.10000E+01
   10.7000   4.4100   8.4000   0.0858   1.0124  0.20126E+03  0.20126E+03  0.44968E-02  0.27089E+03  0.64419E+00  0.14793E+02  0.25545E+03  0.10000E+01
   10.7000   4.4200   8.4000   0.0861   1.0147  0.20152E+03  0.20151E+03  0.45077E-02  0.27071E+03  0.63609E+00  0.14690E+02  0.25538E+03  0.10000E+01
   10.7000   4.4300   8.4000   0.0864   1.0170  0.20162E+03  0.20162E+03  0.45186E-02  0.27053E+03  0.62809E+00  0.14588E+02  0.25531E+03  0.10000E+01
   10.7000   4.4400   8.4000   0.0868   1.0193  0.20176E+03  0.20175E+03  0.45297E-02  0.27035E+03  0.62016E+00  0.14487E+02  0.25524E+03  0.10000E+01
   10.7000   4.4500   8.4000   0.0871   1.0216  0.20185E+03  0.20184E+03  0.45408E-02  0.27016E+03  0.61235E+00  0.14387E+02  0.25516E+03  0.10000E+01
   10.7000   4.4600   8.4000   0.0874   1.0239  0.20199E+03  0.20198E+03  0.45521E-02  0.27000E+03  0.60464E+00  0.14287E+02  0.25511E+03  0.10000E+01
   10.7000   4.4700   8.4000   0.0878   1.0262  0.20209E+03  0.20208E+03  0.45635E-02  0.26983E+03  0.59702E+00  0.14188E+02  0.25505E+03  0.10000E+01
   10.7000   4.4800   8.4000   0.0881   1.0285  0.20224E+03  0.20223E+03  0.45750E-02  0.26967E+03  0.58952E+00  0.14091E+02  0.25499E+03  0.10000E+01
   10.7000   4.4900   8.4000   0.0885   1.0308  0.20235E+03  0.20235E+03  0.45866E-02  0.26952E+03  0.58211E+00  0.13994E+02  0.25495E+03  0.10000E+01
